,Exit velo,Launch angle,Hits,BBE,Av dist,AVG,wOBA,1b,2b,3b,HR
0,10,61,0,1,5,0.0,0.0,0,0,0,0
1,15,-75,0,1,0,0.0,0.0,0,0,0,0
2,15,-88,0,1,0,0.0,0.0,0,0,0,0
3,20,67,0,1,17,0.0,0.0,0,0,0,0
4,20,48,0,1,25,0.0,0.0,0,0,0,0
5,20,-35,0,1,3,0.0,0.0,0,0,0,0
6,25,58,0,1,36,0.0,0.0,0,0,0,0
7,25,-4,1,1,6,1.0,0.9,1,0,0,0
8,25,-20,0,1,6,0.0,0.0,0,0,0,0
9,25,-34,0,1,2,0.0,0.0,0,0,0,0
10,25,-59,0,1,1,0.0,0.0,0,0,0,0
11,25,-74,0,1,1,0.0,0.0,0,0,0,0
12,25,-77,0,1,0,0.0,0.0,0,0,0,0
13,30,41,0,1,52,0.0,0.0,0,0,0,0
14,30,36,1,1,61,1.0,0.9,1,0,0,0
15,30,35,0,1,56,0.0,0.0,0,0,0,0
16,30,-13,0,1,8,0.0,0.0,0,0,0,0
17,30,-29,1,1,4,1.0,0.9,1,0,0,0
18,30,-33,1,1,3,1.0,0.9,1,0,0,0
19,30,-38,0,1,2,0.0,0.0,0,0,0,0
20,30,-44,0,1,2,0.0,0.0,0,0,0,0
21,30,-48,1,1,3,1.0,0.9,1,0,0,0
22,30,-64,0,1,1,0.0,0.9,0,0,0,0
23,30,-76,0,1,0,0.0,0.0,0,0,0,0
24,30,-81,0,1,0,0.0,0.0,0,0,0,0
25,35,33,1,1,75,1.0,0.9,1,0,0,0
26,35,28,0,1,66,0.0,0.0,0,0,0,0
27,35,26,0,1,67,0.0,0.0,0,0,0,0
28,35,12,0,1,36,0.0,0.0,0,0,0,0
29,35,5,0,1,30,0.0,0.0,0,0,0,0
30,35,-3,0,1,18,0.0,0.0,0,0,0,0
31,35,-7,0,1,13,0.0,0.0,0,0,0,0
32,35,-10,0,1,12,0.0,0.0,0,0,0,0
33,35,-16,0,1,8,0.0,0.0,0,0,0,0
34,35,-22,1,1,6,1.0,0.9,1,0,0,0
35,35,-31,0,1,4,0.0,0.0,0,0,0,0
36,35,-36,0,1,3,0.0,0.0,0,0,0,0
37,35,-40,0,1,4,0.0,0.0,0,0,0,0
38,35,-44,0,2,3,0.0,0.0,0,0,0,0
39,35,-53,0,1,2,0.0,0.0,0,0,0,0
40,35,-54,0,2,2,0.0,0.45,0,0,0,0
41,35,-55,0,1,2,0.0,0.0,0,0,0,0
42,35,-58,1,1,1,1.0,0.9,1,0,0,0
43,35,-62,0,1,1,0.0,0.0,0,0,0,0
44,35,-63,0,1,1,0.0,0.9,0,0,0,0
45,35,-64,1,1,1,1.0,0.9,1,0,0,0
46,35,-73,1,1,0,1.0,0.9,1,0,0,0
47,35,-74,0,1,1,0.0,0.0,0,0,0,0
48,35,-79,0,1,0,0.0,0.0,0,0,0,0
49,40,76,0,1,36,0.0,0.0,0,0,0,0
50,40,69,0,1,57,0.0,0.0,0,0,0,0
51,40,67,1,1,54,1.0,0.9,1,0,0,0
52,40,48,1,1,88,1.0,0.9,1,0,0,0
53,40,43,0,3,93,0.0,0.0,0,0,0,0
54,40,36,0,1,89,0.0,0.0,0,0,0,0
55,40,30,0,1,93,0.0,0.0,0,0,0,0
56,40,24,1,1,80,1.0,0.9,1,0,0,0
57,40,19,0,1,69,0.0,0.0,0,0,0,0
58,40,18,1,1,64,1.0,0.9,1,0,0,0
59,40,14,0,2,54,0.0,0.0,0,0,0,0
60,40,9,0,1,39,0.0,0.0,0,0,0,0
61,40,6,0,1,36,0.0,0.0,0,0,0,0
62,40,4,0,1,35,0.0,0.0,0,0,0,0
63,40,3,0,1,24,0.0,0.0,0,0,0,0
64,40,2,1,1,20,1.0,0.9,1,0,0,0
65,40,-3,0,1,22,0.0,0.0,0,0,0,0
66,40,-4,0,1,19,0.0,0.9,0,0,0,0
67,40,-7,0,1,15,0.0,0.0,0,0,0,0
