,Exit velo,rounded_la,BBE,Hits,1b,2b,3b,HR,Av dist,AVG
0,10,60.0,1,0,0,0,0,0,5.0,0.0
1,15,-90.0,1,0,0,0,0,0,0.0,0.0
2,15,-75.0,1,0,0,0,0,0,0.0,0.0
3,20,-35.0,1,0,0,0,0,0,3.0,0.0
4,20,50.0,1,0,0,0,0,0,25.0,0.0
5,20,65.0,1,0,0,0,0,0,17.0,0.0
6,25,-75.0,2,0,0,0,0,0,0.5,0.0
7,25,-60.0,1,0,0,0,0,0,1.0,0.0
8,25,-35.0,1,0,0,0,0,0,2.0,0.0
9,25,-20.0,1,0,0,0,0,0,6.0,0.0
10,25,-5.0,1,1,1,0,0,0,6.0,1.0
11,25,60.0,1,0,0,0,0,0,36.0,0.0
12,30,-80.0,1,0,0,0,0,0,0.0,0.0
13,30,-75.0,1,0,0,0,0,0,0.0,0.0
14,30,-65.0,1,0,0,0,0,0,1.0,0.0
15,30,-50.0,1,1,1,0,0,0,3.0,1.0
16,30,-45.0,1,0,0,0,0,0,2.0,0.0
17,30,-40.0,1,0,0,0,0,0,2.0,0.0
18,30,-35.0,1,1,1,0,0,0,3.0,1.0
19,30,-30.0,1,1,1,0,0,0,4.0,1.0
20,30,-15.0,1,0,0,0,0,0,8.0,0.0
21,30,35.0,2,1,1,0,0,0,58.5,0.5
22,30,40.0,1,0,0,0,0,0,52.0,0.0
23,35,-80.0,1,0,0,0,0,0,0.0,0.0
24,35,-75.0,2,1,1,0,0,0,0.5,0.5
25,35,-65.0,2,1,1,0,0,0,1.0,0.5
26,35,-60.0,2,1,1,0,0,0,1.0,0.5
27,35,-55.0,4,0,0,0,0,0,2.0,0.0
28,35,-45.0,2,0,0,0,0,0,3.0,0.0
29,35,-40.0,1,0,0,0,0,0,4.0,0.0
30,35,-35.0,1,0,0,0,0,0,3.0,0.0
31,35,-30.0,1,0,0,0,0,0,4.0,0.0
32,35,-20.0,1,1,1,0,0,0,6.0,1.0
33,35,-15.0,1,0,0,0,0,0,8.0,0.0
34,35,-10.0,1,0,0,0,0,0,12.0,0.0
